x1,date,average_price,total_volume,x4046,x4225,x4770,total_bags,small_bags,large_bags,x_large_bags,type,year,region
44,2015-02-22,1.39,37223.45,25492.53,11724.78,0,6.14,6.14,0,0,organic,2015,SanFrancisco
31,2015-05-17,1.42,16514.55,7604.41,5425.94,0,3484.2,1936.67,1547.53,0,organic,2015,WestTexNewMexico
42,2016-03-06,1.21,86686.51,29748.62,5654.56,0,51283.33,40850.8,10432.53,0,organic,2016,SouthCentral
40,2016-03-20,1.04,152572.16,46047.38,35537.84,28532.36,42454.58,22445.88,16153.49,3855.21,conventional,2016,Columbus
6,2017-11-19,1.62,10393.69,186.36,4241.25,0,5966.08,5612.89,353.19,0,organic,2017,Atlanta
40,2016-03-20,1.08,269456.81,35428.08,159452.29,270.23,74306.21,72833.96,1472.25,0,conventional,2016,HarrisburgScranton
2,2015-12-13,1.8,2368.84,1002.83,927.34,0,438.67,25.73,412.94,0,organic,2015,StLouis
5,2016-11-20,1.38,2670425.59,1054588.13,480430.32,8082.2,1127324.94,592607.45,532645.82,2071.67,conventional,2016,Southeast
3,2016-12-04,0.99,3941512.2,1481392.35,851643.42,5133.86,1603342.57,644607.27,957516.13,1219.17,conventional,2016,Southeast
50,2017-01-15,1.49,11582.83,3008.72,3123.32,0,5450.79,5443.7,7.09,0,organic,2017,PhoenixTucson
1,2015-12-20,1.19,95935.66,63053.15,6544.15,241.09,26097.27,16151.43,9940.6,5.24,conventional,2015,Jacksonville
10,2018-01-14,1.59,1476651.08,145680.62,323669.83,1580.01,1005593.78,858772.69,146808.97,12.12,organic,2018,TotalUS
36,2015-04-19,1.88,7468.8,3.38,643.91,0,6821.51,6821.51,0,0,organic,2015,NorthernNewEngland
11,2016-10-09,1.23,69593.63,980.44,46378.32,56.22,22178.65,22178.65,0,0,conventional,2016,Syracuse
12,2015-10-04,0.85,649050.15,240183.49,317701.12,16661.98,74503.56,72761.14,1742.42,0,conventional,2015,WestTexNewMexico
33,2016-05-08,0.74,1052940.48,623286.74,183588.62,33224.01,212841.11,124984.25,83560.19,4296.67,conventional,2016,WestTexNewMexico
16,2015-09-06,1.11,156608.28,3361.77,92568.64,16662.01,44015.86,25163.49,15845.63,3006.74,conventional,2015,Indianapolis
0,2016-12-25,0.94,359005.75,131616.46,81351.13,133.41,145904.75,65955.63,79804.68,144.44,conventional,2016,Orlando
9,2016-10-23,1.78,213547.17,4201.36,152903.95,194.14,56247.72,56074,104.28,69.44,conventional,2016,HartfordSpringfield
50,2017-01-15,1.23,776820.81,78836.36,480071.92,142550.33,75362.2,67302.01,1595.12,6465.07,conventional,2017,Chicago
44,2015-02-22,1.37,81291.05,43057.55,6627.71,0,31605.79,31043.33,562.46,0,organic,2015,SouthCentral
5,2015-11-22,1.27,7668.48,71.07,394.69,0,7202.72,7202.72,0,0,organic,2015,Boston
10,2016-10-16,1.4,3226.62,362.82,40.67,0,2823.13,913.33,1909.8,0,organic,2016,Tampa
52,2017-01-01,1.12,2878967.54,653896,1285364.27,64703.08,875004.19,719379.64,151226.51,4398.04,conventional,2017,Midsouth
35,2017-04-30,0.92,906413.45,194789.64,170398.76,470.65,540754.4,538920.53,1467.7,366.17,conventional,2017,Seattle
38,2016-04-03,1.05,349121.77,178043.1,55773.85,251.72,115053.1,49626.46,65426.64,0,conventional,2016,Orlando
40,2017-03-26,1.57,375225.76,136446.55,190537.19,1187.45,47054.57,44746.86,95.41,2212.3,conventional,2017,Sacramento
2,2018-03-11,1.26,80611.01,28399.47,2279.82,12280.5,37651.22,28668.38,8931.77,51.07,conventional,2018,Boise
32,2016-05-15,0.88,295706.69,1673.41,211337.24,6471.52,76224.52,67998.45,7823.6,402.47,conventional,2016,GrandRapids
19,2015-08-16,1.7,69867.41,6146.33,39087.25,4519.71,20114.12,15180.41,4933.71,0,organic,2015,Midsouth
27,2016-06-19,1.23,169756.02,1776.91,80406.95,57.85,87514.31,84829.31,0,2685,conventional,2016,BuffaloRochester
19,2015-08-16,1.51,1164.87,6.18,22.02,0,1136.67,1136.67,0,0,organic,2015,MiamiFtLauderdale
19,2017-08-20,1.48,4569.66,25.5,20.83,0,4523.33,4523.33,0,0,organic,2017,MiamiFtLauderdale
5,2017-11-26,1.48,336192,99591,69191,12659,154751,105787,48468,495,conventional,2017,Portland
52,2017-01-01,1.62,4920.41,584.97,2230.14,209.54,1895.76,1895.76,0,0,organic,2017,RichmondNorfolk
43,2015-03-01,1.05,293036.34,92829.75,151163.75,12440.57,36602.27,35745.05,857.22,0,conventional,2015,LasVegas
23,2015-07-19,1.42,1108.9,18.76,0,0,1090.14,1090.14,0,0,organic,2015,Tampa
37,2016-04-10,1.16,20070.8,8391.02,644.18,0,11035.6,8238.37,2797.23,0,organic,2016,DallasFtWorth
0,2018-03-25,1.75,19086.94,865.91,10936.47,0,7284.56,7284.56,0,0,organic,2018,SanDiego
23,2017-07-23,1.88,36591.27,87.93,31152.43,0,5350.91,5350.91,0,0,organic,2017,Chicago
38,2015-04-05,1.38,50015.81,716.97,24675.99,20.46,24602.39,24340.17,262.22,0,conventional,2015,Syracuse
24,2016-07-10,1.47,420054.95,15583.43,211189.05,20445.49,172836.98,154560.09,14058.39,4218.5,conventional,2016,Philadelphia
45,2015-02-15,1.15,2610004.41,390973.21,1331420.43,237030.33,650580.44,561485.4,81172.24,7922.8,conventional,2015,GreatLakes
7,2017-11-12,1.3,169251,89557,7643,136,71915,51019,20896,0,conventional,2017,StLouis
23,2016-07-17,1.02,5787378.41,1883575.14,1304616.13,95086.4,2504100.74,1822960,665247.85,15892.89,conventional,2016,West
40,2017-03-26,2.18,16770.93,3649.96,6356.03,2.05,6762.89,6681.85,81.04,0,organic,2017,Philadelphia
13,2017-10-01,2.01,363941.68,72930.41,126903.44,659.39,163448.44,107521.77,54904.91,1021.76,conventional,2017,Seattle
47,2016-01-31,1.73,9768.28,1966.28,7082.01,0,719.99,719.99,0,0,organic,2016,Sacramento
46,2017-02-12,0.66,13802,337.21,2693.07,0,10771.72,196.14,10575.58,0,organic,2017,Nashville
4,2017-12-03,1.19,98030.75,1019.98,29524.69,55.28,67430.8,1978.94,65389,62.86,organic,2017,Seattle
23,2016-07-17,1.08,195710.39,15914.63,93315.97,9427.32,77052.47,39495.08,32642.41,4914.98,conventional,2016,Indianapolis
50,2017-01-15,1.25,4618.57,338.85,97.16,14.57,4167.99,1172.22,2995.77,0,organic,2017,Jacksonville
47,2017-02-05,1.35,3551.43,568.01,1410.33,0,1573.09,959.37,613.72,0,organic,2017,Indianapolis
29,2016-06-05,1.65,1829.78,0,1431.5,0,398.28,373.33,24.95,0,organic,2016,Boise
28,2015-06-14,0.7,1035973.14,651120.92,202731.92,13413.05,168707.25,126508.62,42198.63,0,conventional,2015,WestTexNewMexico
35,2017-04-30,1.11,44526.5,6225.21,3347.84,97.16,34856.29,147.76,34708.53,0,organic,2017,Portland
17,2017-09-03,1.85,16832.81,6566.3,58.92,0,10207.59,10207.59,0,0,organic,2017,Houston
28,2015-06-14,0.97,6741662.31,4075881.34,1771908.98,210670.82,683201.17,657421.42,22961.19,2818.56,conventional,2015,California
0,2017-12-31,0.94,6330634.55,1789024.92,2089553.44,91527.19,2360529,1117482.22,1235496.72,7550.06,conventional,2017,West
8,2017-11-05,1.37,503544.6,119514.34,114867.45,6037.11,263125.7,222651.89,40236.49,237.32,conventional,2017,Seattle
36,2015-04-19,1.52,123851.34,55948.06,57078.01,1.49,10823.78,10823.78,0,0,organic,2015,California
39,2015-03-29,1.23,178788.49,34498.06,50741.07,40688.42,52860.94,51856.01,1004.93,0,conventional,2015,Charlotte
33,2016-05-08,1.68,5598.49,2770.42,153.63,0,2674.44,2674.44,0,0,organic,2016,Orlando
10,2018-01-14,1.2,37299945.22,12600918.24,11866197.84,652808.4,12180020.74,8128241.88,3917569.95,134208.91,conventional,2018,TotalUS
13,2016-09-25,2.03,3985.23,2263.93,179.85,0,1541.45,1010,531.45,0,organic,2016,Orlando
2,2018-03-11,1.25,4685.01,168.95,61.01,0,4455.05,775.9,3679.15,0,organic,2018,Syracuse
2,2015-12-13,1.36,24285.79,7419.99,3155.41,3.32,13707.07,444.05,13263.02,0,organic,2015,Denver
26,2016-06-26,1.24,3244.63,0,1754.77,0,1489.86,123.33,1366.53,0,organic,2016,Louisville
2,2016-12-11,1.63,7685.91,129.38,3172.14,298.96,4085.43,3332.94,752.49,0,organic,2016,RaleighGreensboro
35,2015-04-26,1.69,1798.92,75.88,1092.14,0,630.9,316.67,314.23,0,organic,2015,Indianapolis
43,2015-03-01,1.61,62339.44,9303.87,29547.34,4471.19,19017.04,16977.16,2039.88,0,organic,2015,Midsouth
26,2017-07-02,1.73,11015.7,1952.02,2930.62,0,6133.06,4359.15,1773.91,0,organic,2017,LasVegas
39,2017-04-02,2.31,6244.05,2073.38,3328.69,0,841.98,841.98,0,0,organic,2017,Sacramento
46,2017-02-12,1.14,765983.21,265975.96,394642.91,22683.76,82680.58,76702.05,1053.53,4925,conventional,2017,SanFrancisco
